Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Région;Libellé Région;id_filiere;Consommation totale (MWh)
Enedis;2011;Electricité;399335.23;4363;0;0.976;2951231.26;3497;0;0.954;3173820.29;12855;0;0.935;7960092.91;1361015;5;0.355;57619.77;196;0;0.736;24;Centre-Val de Loire;100;14542099.459999999
Enedis;2011;Electricité;254969.05;1426;0;0.935;7346096.24;5947;0;0.955;6855585.55;24919;0;0.942;15150658.83;2806578;15;0.316;130348.89;564;0;0.745;32;Hauts-de-France;100;29737658.560000002
Enedis;2011;Electricité;393854.74;2798;0;0.952;4913775.1;5640;0;0.962;4533361.55;17981;0;0.943;11685230.46;2057032;3;0.332;6440.44;221;0;0.69;52;Pays de la Loire;100;21532662.290000003
Enedis;2011;Electricité;649409.52;2943;0;0.918;3991191.28;4071;0;0.958;4059229.6;15539;0;0.94;10537506.39;1960602;1;0.331;9855.81;279;0;0.706;53;Bretagne;100;19247192.599999998
Energies et services Creutzwald;2011;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;82133.0;7219;0;1.0;44;Grand Est;100;82133.0
Gignac Energie;2011;Electricité;0.0;0;0;0.0;2919.0;6;0;1.0;5054.0;181;0;1.0;14468.0;2410;0;1.0;567.0;66;0;1.0;76;Occitanie;100;23008.0
Groupement Elise - Régie d'Allemont;2011;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;2277.0;129;0;0.0;4382.0;831;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;6659.0
Groupement Elise - Régie de Saint-Pierre-d'Allevard;2011;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;1770.0;129;0;0.0;7439.0;1216;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;9209.0
Groupement Elise - Régie de Villard-Bonnot;2011;Electricité;0.0;0;0;0.0;10930.0;4;0;0.0;7096.0;347;0;0.0;17021.0;3398;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;35047.0
Groupement Elise - Régie de Vinay;2011;Electricité;0.0;0;0;0.0;3561.0;3;0;0.0;8505.0;138;0;0.0;15156.0;2310;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;27222.0
Régie communale d'électricité de Saulnes;2011;Electricité;0.0;0;0;0.0;5395.0;2;0;0.0;0.0;0;0;0.0;5585.0;1281;0;0.0;0.0;0;0;0.0;44;Grand Est;100;10980.0
Régie d'électricité d'Elbeuf;2011;Electricité;0.0;0;0;0.0;6753.0;13;0;0.0;0.0;0;0;0.0;48153.0;9881;0;0.0;6975.0;59;0;0.0;28;Normandie;100;61881.0
Régie électrique de Bozel;2011;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;11752.66;1487;0;0.0;5038.93;195;0;0.0;84;Auvergne-Rhône-Alpes;100;16791.59
Régie électrique de La Chapelle;2011;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;1217.0;212;0;1.0;17.0;15;0;1.0;84;Auvergne-Rhône-Alpes;100;1234.0
Régie électrique de Tignes;2011;Electricité;1630.0;105;0;0.9;688.0;46;0;0.9;58431.0;824;0;0.9;12967.0;5232;0;0.9;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;73716.0
Régie électrique municipale de Fontaine-au-Pire;2011;Electricité;136.0;8;0;0.0;0.0;0;0;0.0;1079.0;10;0;0.0;2657.0;537;0;0.0;0.0;0;0;0.0;32;Hauts-de-France;100;3872.0
Régie municipale d'électricité d'Allevard;2011;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;9417.0;374;0;0.0;11966.0;2740;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;21383.0
Régie municipale d'électricité d'Arignac;2011;Electricité;0.0;0;0;0.0;156.0;1;0;1.0;304.0;27;0;0.5;1980.0;413;0;0.5;178.0;19;0;0.5;76;Occitanie;100;2618.0
Régie municipale d'électricité de Gandrange;2011;Electricité;0.0;0;0;0.0;2536.0;2;0;1.0;764.0;9;0;1.0;5963.0;1696;0;1.0;0.0;0;0;0.0;44;Grand Est;100;9263.0
Régie municipale d'électricité de l'Hospitalet Près L'Andorre;2011;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;419.0;35;0;1.0;276.0;88;0;1.0;239.0;27;0;1.0;76;Occitanie;100;934.0
